,Must HAVE 1 Yellow and 1 Orange to be covered for Diabetic Foot Ulcer,,,,,,,,,,,,,,,,,,,,,,,,
 Group 3- Two diagnosis codes are required- Diabetic Mellitus plus Chronic Ulcer                                                                       ,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetes Mellitus,,,Chronic Ulcer,,,,,,,,,,,,,,,,,,,,,,
E08.621,Diabetes mellitus due to underlying condition with foot ulcer,,L97.101,Non-pressure chronic ulcer of unspecified thigh limited to breakdown of skin,,,,,,,,,,,,,,,,,,,,,
E08.622,Diabetes mellitus due to underlying condition with other skin ulcer,,L97.102,Non-pressure chronic ulcer of unspecified thigh with fat layer exposed,,,,,,,,,,,,,,,,,,,,,
E09.621,Drug or chemical induced diabetes mellitus with foot ulcer,,L97.103,Non-pressure chronic ulcer of unspecified thigh with necrosis of muscle,,,,,,,,,,,,,,,,,,,,,
E09.622,Drug or chemical induced diabetes mellitus with other skin ulcer,,L97.104,Non-pressure chronic ulcer of unspecified thigh with necrosis of bone,,,,,,,,,,,,,,,,,,,,,
E10.621,Type 1 diabetes mellitus with foot ulcer,,L97.109,Non-pressure chronic ulcer of unspecified thigh with unspecified severity,,,,,,,,,,,,,,,,,,,,,
E10.622,Type 1 diabetes mellitus with other skin ulcer,,L97.111,Non-pressure chronic ulcer of right thigh limited to breakdown of skin,,,,,,,,,,,,,,,,,,,,,
E11.621,Type 2 diabetes mellitus with foot ulcer,,L97.112,Non-pressure chronic ulcer of right thigh with fat layer exposed,,,,,,,,,,,,,,,,,,,,,
E11.622,Type 2 diabetes mellitus with other skin ulcer,,L97.113,Non-pressure chronic ulcer of right thigh with necrosis of muscle,,,,,,,,,,,,,,,,,,,,,
E13.621,Other specified diabetes mellitus with foot ulcer,,L97.114,Non-pressure chronic ulcer of right thigh with necrosis of bone,,,,,,,,,,,,,,,,,,,,,
E13.622,Other specified diabetes mellitus with other skin ulcer,,L97.119,Non-pressure chronic ulcer of right thigh with unspecified severity,,,,,,,,,,,,,,,,,,,,,
E11.42,,,L97.121,Non-pressure chronic ulcer of left thigh limited to breakdown of skin,,,,,,,,,,,,,,,,,,,,,
E11.65,,,L97.122,Non-pressure chronic ulcer of left thigh with fat layer exposed,,,,,,,,,,,,,,,,,,,,,
E11.4,,,L97.123,Non-pressure chronic ulcer of left thigh with necrosis of muscle,,,,,,,,,,,,,,,,,,,,,
E11.9,,,L97.124,Non-pressure chronic ulcer of left thigh with necrosis of bone,,,,,,,,,,,,,,,,,,,,,
E11.49,,,L97.129,Non-pressure chronic ulcer of left thigh with unspecified severity,,,,,,,,,,,,,,,,,,,,,
,,,L97.201,Non-pressure chronic ulcer of unspecified calf limited to breakdown of skin,,,,,,,,,,,,,,,,,,,,,
,,,L97.202,Non-pressure chronic ulcer of unspecified calf with fat layer exposed,,,,,,,,,,,,,,,,,,,,,
,,,L97.203,Non-pressure chronic ulcer of unspecified calf with necrosis of muscle,,,,,,,,,,,,,,,,,,,,,
,,,L97.204,Non-pressure chronic ulcer of unspecified calf with necrosis of bone,,,,,,,,,,,,,,,,,,,,,
,,,L97.209,Non-pressure chronic ulcer of unspecified calf with unspecified severity,,,,,,,,,,,,,,,,,,,,,
,,,L97.211,Non-pressure chronic ulcer of right calf limited to breakdown of skin,,,,,,,,,,,,,,,,,,,,,
,,,L97.212,Non-pressure chronic ulcer of right calf with fat layer exposed,,,,,,,,,,,,,,,,,,,,,
,,,L97.213,Non-pressure chronic ulcer of right calf with necrosis of muscle,,,,,,,,,,,,,,,,,,,,,
,,,L97.214,Non-pressure chronic ulcer of right calf with necrosis of bone,,,,,,,,,,,,,,,,,,,,,
,,,L97.219,Non-pressure chronic ulcer of right calf with unspecified severity,,,,,,,,,,,,,,,,,,,,,
,,,L97.221,Non-pressure chronic ulcer of left calf limited to breakdown of skin,,,,,,,,,,,,,,,,,,,,,
,,,L97.222,Non-pressure chronic ulcer of left calf with fat layer exposed,,,,,,,,,,,,,,,,,,,,,
,,,L97.223,Non-pressure chronic ulcer of left calf with necrosis of muscle,,,,,,,,,,,,,,,,,,,,,
,,,L97.224,Non-pressure chronic ulcer of left calf with necrosis of bone,,,,,,,,,,,,,,,,,,,,,
,,,L97.229,Non-pressure chronic ulcer of left calf with unspecified severity,,,,,,,,,,,,,,,,,,,,,
,,,L97.301,Non-pressure chronic ulcer of unspecified ankle limited to breakdown of skin,,,,,,,,,,,,,,,,,,,,,
,,,L97.302,Non-pressure chronic ulcer of unspecified ankle with fat layer exposed,,,,,,,,,,,,,,,,,,,,,
,,,L97.303,Non-pressure chronic ulcer of unspecified ankle with necrosis of muscle,,,,,,,,,,,,,,,,,,,,,
,,,L97.304,Non-pressure chronic ulcer of unspecified ankle with necrosis of bone,,,,,,,,,,,,,,,,,,,,,
,,,L97.309,Non-pressure chronic ulcer of unspecified ankle with unspecified severity,,,,,,,,,,,,,,,,,,,,,
,,,L97.311,Non-pressure chronic ulcer of right ankle limited to breakdown of skin,,,,,,,,,,,,,,,,,,,,,
,,,L97.312,Non-pressure chronic ulcer of right ankle with fat layer exposed,,,,,,,,,,,,,,,,,,,,,
,,,L97.313,Non-pressure chronic ulcer of right ankle with necrosis of muscle,,,,,,,,,,,,,,,,,,,,,
,,,L97.314,Non-pressure chronic ulcer of right ankle with necrosis of bone,,,,,,,,,,,,,,,,,,,,,
,,,L97.319,Non-pressure chronic ulcer of right ankle with unspecified severity,,,,,,,,,,,,,,,,,,,,,
,,,L97.321,Non-pressure chronic ulcer of left ankle limited to breakdown of skin,,,,,,,,,,,,,,,,,,,,,
,,,L97.322,Non-pressure chronic ulcer of left ankle with fat layer exposed,,,,,,,,,,,,,,,,,,,,,
,,,L97.323,Non-pressure chronic ulcer of left ankle with necrosis of muscle,,,,,,,,,,,,,,,,,,,,,
,,,L97.324,Non-pressure chronic ulcer of left ankle with necrosis of bone,,,,,,,,,,,,,,,,,,,,,
,,,L97.329,Non-pressure chronic ulcer of left ankle with unspecified severity,,,,,,,,,,,,,,,,,,,,,
,,,L97.401,Non-pressure chronic ulcer of unspecified heel and midfoot limited to breakdown of skin,,,,,,,,,,,,,,,,,,,,,
,,,L97.402,Non-pressure chronic ulcer of unspecified heel and midfoot with fat layer exposed,,,,,,,,,,,,,,,,,,,,,
,,,L97.403,Non-pressure chronic ulcer of unspecified heel and midfoot with necrosis of muscle,,,,,,,,,,,,,,,,,,,,,
,,,L97.404,Non-pressure chronic ulcer of unspecified heel and midfoot with necrosis of bone,,,,,,,,,,,,,,,,,,,,,
,,,L97.409,Non-pressure chronic ulcer of unspecified heel and midfoot with unspecified severity,,,,,,,,,,,,,,,,,,,,,
,,,L97.411,Non-pressure chronic ulcer of right heel and midfoot limited to breakdown of skin,,,,,,,,,,,,,,,,,,,,,
,,,L97.412,Non-pressure chronic ulcer of right heel and midfoot with fat layer exposed,,,,,,,,,,,,,,,,,,,,,
,,,L97.413,Non-pressure chronic ulcer of right heel and midfoot with necrosis of muscle,,,,,,,,,,,,,,,,,,,,,
,,,L97.414,Non-pressure chronic ulcer of right heel and midfoot with necrosis of bone,,,,,,,,,,,,,,,,,,,,,
,,,L97.419,Non-pressure chronic ulcer of right heel and midfoot with unspecified severity,,,,,,,,,,,,,,,,,,,,,
,,,L97.421,Non-pressure chronic ulcer of left heel and midfoot limited to breakdown of skin,,,,,,,,,,,,,,,,,,,,,
,,,L97.422,Non-pressure chronic ulcer of left heel and midfoot with fat layer exposed,,,,,,,,,,,,,,,,,,,,,
,,,L97.423,Non-pressure chronic ulcer of left heel and midfoot with necrosis of muscle,,,,,,,,,,,,,,,,,,,,,
,,,L97.424,Non-pressure chronic ulcer of left heel and midfoot with necrosis of bone,,,,,,,,,,,,,,,,,,,,,
,,,L97.429,Non-pressure chronic ulcer of left heel and midfoot with unspecified severity,,,,,,,,,,,,,,,,,,,,,
,,,L97.501,Non-pressure chronic ulcer of other part of unspecified foot limited to breakdown of skin,,,,,,,,,,,,,,,,,,,,,
,,,L97.502,Non-pressure chronic ulcer of other part of unspecified foot with fat layer exposed,,,,,,,,,,,,,,,,,,,,,
,,,L97.503,Non-pressure chronic ulcer of other part of unspecified foot with necrosis of muscle,,,,,,,,,,,,,,,,,,,,,
,,,L97.504,Non-pressure chronic ulcer of other part of unspecified foot with necrosis of bone,,,,,,,,,,,,,,,,,,,,,
,,,L97.509,Non-pressure chronic ulcer of other part of unspecified foot with unspecified severity,,,,,,,,,,,,,,,,,,,,,
,,,L97.511,Non-pressure chronic ulcer of other part of right foot limited to breakdown of skin,,,,,,,,,,,,,,,,,,,,,
,,,L97.512,Non-pressure chronic ulcer of other part of right foot with fat layer exposed,,,,,,,,,,,,,,,,,,,,,
,,,L97.513,Non-pressure chronic ulcer of other part of right foot with necrosis of muscle,,,,,,,,,,,,,,,,,,,,,
,,,L97.514,Non-pressure chronic ulcer of other part of right foot with necrosis of bone,,,,,,,,,,,,,,,,,,,,,
,,,L97.519,Non-pressure chronic ulcer of other part of right foot with unspecified severity,,,,,,,,,,,,,,,,,,,,,
,,,L97.521,Non-pressure chronic ulcer of other part of left foot limited to breakdown of skin,,,,,,,,,,,,,,,,,,,,,
,,,L97.522,Non-pressure chronic ulcer of other part of left foot with fat layer exposed,,,,,,,,,,,,,,,,,,,,,
,,,L97.523,Non-pressure chronic ulcer of other part of left foot with necrosis of muscle,,,,,,,,,,,,,,,,,,,,,
,,,L97.524,Non-pressure chronic ulcer of other part of left foot with necrosis of bone,,,,,,,,,,,,,,,,,,,,,
,,,L97.529,Non-pressure chronic ulcer of other part of left foot with unspecified severity,,,,,,,,,,,,,,,,,,,,,
,,,L97.801,Non-pressure chronic ulcer of other part of unspecified lower leg limited to breakdown of skin,,,,,,,,,,,,,,,,,,,,,
,,,L97.802,Non-pressure chronic ulcer of other part of unspecified lower leg with fat layer exposed,,,,,,,,,,,,,,,,,,,,,
,,,L97.803,Non-pressure chronic ulcer of other part of unspecified lower leg with necrosis of muscle,,,,,,,,,,,,,,,,,,,,,
,,,L97.804,Non-pressure chronic ulcer of other part of unspecified lower leg with necrosis of bone,,,,,,,,,,,,,,,,,,,,,
,,,L97.809,Non-pressure chronic ulcer of other part of unspecified lower leg with unspecified severity,,,,,,,,,,,,,,,,,,,,,
,,,L97.811,Non-pressure chronic ulcer of other part of right lower leg limited to breakdown of skin,,,,,,,,,,,,,,,,,,,,,
,,,L97.812,Non-pressure chronic ulcer of other part of right lower leg with fat layer exposed,,,,,,,,,,,,,,,,,,,,,
,,,L97.813,Non-pressure chronic ulcer of other part of right lower leg with necrosis of muscle,,,,,,,,,,,,,,,,,,,,,
,,,L97.814,Non-pressure chronic ulcer of other part of right lower leg with necrosis of bone,,,,,,,,,,,,,,,,,,,,,
,,,L97.819,Non-pressure chronic ulcer of other part of right lower leg with unspecified severity,,,,,,,,,,,,,,,,,,,,,
,,,L97.821,Non-pressure chronic ulcer of other part of left lower leg limited to breakdown of skin,,,,,,,,,,,,,,,,,,,,,
,,,L97.822,Non-pressure chronic ulcer of other part of left lower leg with fat layer exposed,,,,,,,,,,,,,,,,,,,,,
,,,L97.823,Non-pressure chronic ulcer of other part of left lower leg with necrosis of muscle,,,,,,,,,,,,,,,,,,,,,
,,,L97.824,Non-pressure chronic ulcer of other part of left lower leg with necrosis of bone,,,,,,,,,,,,,,,,,,,,,
,,,L97.829,Non-pressure chronic ulcer of other part of left lower leg with unspecified severity,,,,,,,,,,,,,,,,,,,,,
,,,L97.901,Non-pressure chronic ulcer of unspecified part of unspecified lower leg limited to breakdown of skin,,,,,,,,,,,,,,,,,,,,,
,,,L97.902,Non-pressure chronic ulcer of unspecified part of unspecified lower leg with fat layer exposed,,,,,,,,,,,,,,,,,,,,,
,,,L97.903,Non-pressure chronic ulcer of unspecified part of unspecified lower leg with necrosis of muscle,,,,,,,,,,,,,,,,,,,,,
,,,L97.904,Non-pressure chronic ulcer of unspecified part of unspecified lower leg with necrosis of bone,,,,,,,,,,,,,,,,,,,,,
,,,L97.909,Non-pressure chronic ulcer of unspecified part of unspecified lower leg with unspecified severity,,,,,,,,,,,,,,,,,,,,,
,,,L97.911,Non-pressure chronic ulcer of unspecified part of right lower leg limited to breakdown of skin,,,,,,,,,,,,,,,,,,,,,
,,,L97.912,Non-pressure chronic ulcer of unspecified part of right lower leg with fat layer exposed,,,,,,,,,,,,,,,,,,,,,
,,,L97.913,Non-pressure chronic ulcer of unspecified part of right lower leg with necrosis of muscle,,,,,,,,,,,,,,,,,,,,,
,,,L97.914,Non-pressure chronic ulcer of unspecified part of right lower leg with necrosis of bone,,,,,,,,,,,,,,,,,,,,,
,,,L97.919,Non-pressure chronic ulcer of unspecified part of right lower leg with unspecified severity,,,,,,,,,,,,,,,,,,,,,
,,,L97.921,Non-pressure chronic ulcer of unspecified part of left lower leg limited to breakdown of skin,,,,,,,,,,,,,,,,,,,,,
,,,L97.922,Non-pressure chronic ulcer of unspecified part of left lower leg with fat layer exposed,,,,,,,,,,,,,,,,,,,,,
,,,L97.923,Non-pressure chronic ulcer of unspecified part of left lower leg with necrosis of muscle,,,,,,,,,,,,,,,,,,,,,
